type,method,status,description,usage,output
Query,userImportStatus
Query,getActiveClientList
Query,activeWorkShift
Query,workShifts
Query,finishedWorkShifts
Query,workShift
Query,getDetailedWorkShiftMoneyData
Query,getWorkShiftPaymentOverviewData
Query,tasks
Query,loginExists
Query,phoneExists
Query,emailExists
Query,clientPhoneExists
Query,clientEmailExists
Query,nicknameExists
Query,me
Query,clientMe
Query,versions
Query,now
Query,regions
Query,currencies
Query,currency
Query,userClubs
Query,featureFlags
Query,publicKey
